chunk_id,document_id,collection_slug,first_page_id,last_page_id,snippet,matched_terms,match_type
22095,227,silvermaster,41091,41128,"SILVERMASTER, principal subject in instant case, and WHITE stated that he knew SILVERMASTER as well",(silvehmaster|silvermaster|silver|silvermasters|silverhaster|silver-master),exact
31220,451,silvermaster,53406,53512,"SILVERMASTER • t SILVERMASTER was born November 27, 1889, at Odessa, Russia. He is believed to have",(silvehmaster|silvermaster|silver|silvermasters|silverhaster|silver-master),exact
31222,451,silvermaster,53406,53512,SILVERMASTER' personal car is maintained. ^ * - • • * Selective Servic.e Status - - ' i ) . SILVERMASTER registered with Local Board 2. 3000 Connecticut,(silvehmaster|silvermaster|silver|silvermasters|silverhaster|silver-master),exact
26322,281,silvermaster,51426,51466,Silvermaster sensing what was in the air went back to Agriculture and Civil Service lost,(silvehmaster|silvermaster|silver|silvermasters|silverhaster|silver-master),exact
31223,451,silvermaster,53406,53512,"SILVER- - MASTER residence on this date. .... .. •. r' , Surveillance conducted on November 20, 19h5, by Special",(silvehmaster|silvermaster|silver|silvermasters|silverhaster|silver-master),exact
